label,trait
2071,1
2075,1
2074,1
2073,1
2078,0
2080,0
2084,0
2083,0
2089,0
2088,0
2087,0
2091,0
2094,0
2093,0
2097,0
2098,0
2096,0
2095,0
2092,0
2090,0
2086,0
2100,0
2099,0
2085,0
2082,0
2081,0
2079,0
2077,0
2103,0
2102,0
2110,0
2109,0
2108,0
2107,0
2106,0
2115,0
2114,0
2117,1
2120,0
2119,0
2122,0
2121,0
2118,0
2116,0
2113,0
2112,0
2125,0
2124,0
2131,1
2130,1
2129,1
2128,1
2138,1
2137,1
2139,1
2136,1
2142,1
2141,1
2144,1
2143,1
2140,1
2135,1
2134,1
2133,1
2149,1
2157,1
2156,1
2160,1
2159,1
2158,1
2155,1
2162,1
2161,1
2154,1
2153,1
2152,1
2151,1
2167,1
2166,1
2165,1
2169,1
2171,1
2170,1
2168,1
2164,1
2163,1
2150,1
2148,1
2147,1
2146,1
2145,1
2132,1
2127,1
2177,0
2176,0
2175,0
2174,0
2179,0
2184,0
2183,0
2182,0
2186,0
2188,0
2189,0
2187,0
2185,0
2181,0
2195,0
2198,0
2197,0
2196,0
2194,0
2193,0
2192,0
2202,0
2207,0
2208,0
2206,0
2205,0
2204,0
2203,0
2201,0
2210,0
2214,0
2213,0
2212,0
2217,0
2218,0
2216,0
2215,0
2211,0
2209,0
2200,0
2199,0
2191,0
2190,0
2180,0
2178,0
2173,0
2224,0
2223,0
2226,0
2231,0
2233,0
2232,0
2230,0
2229,0
2236,0
2239,0
2240,0
2238,0
2242,0
2244,0
2247,0
2246,0
2245,0
2243,0
2241,0
2237,0
2235,0
2234,0
2228,0
2227,0
2225,0
2222,0
2221,0
2250,0
2253,0
2252,0
2256,0
2258,0
2261,0
2260,0
2259,0
2257,0
2255,0
2264,0
2267,0
2266,0
2265,0
2263,0
2271,0
2270,0
2269,0
2273,0
2276,0
2275,0
2279,0
2282,0
2284,0
2283,0
2281,0
2280,0
2278,0
2277,0
2274,0
2272,0
2268,0
2262,0
2254,0
2251,0
2249,0
2287,0
2288,0
2286,0
2290,0
2294,0
2297,0
2296,0
2301,0
2300,0
2303,0
2304,0
2302,0
2299,0
2298,0
2295,0
2293,0
2292,0
2306,0
2309,0
2308,0
2312,0
2315,0
2318,0
2317,0
2323,0
2322,0
2321,0
2320,0
2319,0
2316,0
2314,0
2313,0
2311,0
2310,0
2307,0
2305,0
2291,0
2289,0
2285,0
2248,0
2220,0
2326,0
2332,0
2331,0
2330,0
2336,0
2335,0
2340,0
2339,0
2341,0
2338,0
2346,0
2345,0
2344,0
2343,0
2348,0
2347,0
2342,0
2337,0
2334,0
2333,0
2329,0
2353,0
2352,0
2351,0
2357,0
2356,0
2355,0
